id,x,y,z
1.0,0.0,0.0,-300.4
2.0,6.1078,8.407,-300.2202
3.0,9.8827,-3.211,-300.2202
4.0,0.0,-10.391,-300.2202
5.0,-9.8827,-3.211,-300.2202
6.0,-6.1078,8.407,-300.2202
7.0,0.0,16.818,-299.9289
8.0,12.2084,16.804,-299.6811
9.0,15.9942,5.197,-299.9289
10.0,19.7536,-6.418,-299.6811
11.0,9.885,-13.605,-299.9289
12.0,0.0,-20.77,-299.6811
13.0,-9.885,-13.605,-299.9289
14.0,-19.7536,-6.418,-299.6811
15.0,-15.9942,5.197,-299.9289
16.0,-12.2084,16.804,-299.6811
17.0,-6.1079,25.236,-299.2759
18.0,6.1079,25.236,-299.2759
19.0,18.2943,25.18,-298.7833
20.0,22.1129,13.607,-299.2759
21.0,25.8877,1.99,-299.2759
22.0,29.6008,-9.617,-298.7833
23.0,19.7744,-16.825,-299.2759
24.0,9.8916,-24.006,-299.2759
25.0,0.0,-31.124,-298.7833
26.0,-9.8916,-24.006,-299.2759
27.0,-19.7744,-16.825,-299.2759
28.0,-29.6008,-9.617,-298.7833
29.0,-25.8877,1.99,-299.2759
30.0,-22.1129,13.607,-299.2759
31.0,-18.2943,25.18,-298.7833
32.0,-12.1892,33.61,-298.265
33.0,0.0,33.638,-298.5108
34.0,12.1892,33.61,-298.265
35.0,24.3583,33.527,-297.5279
36.0,28.1978,21.979,-298.265
37.0,31.9908,10.395,-298.5108
38.0,35.7311,-1.206,-298.265
39.0,39.4126,-12.806,-297.5279
40.0,29.6164,-20.026,-298.265
41.0,19.7714,-27.213,-298.5108
42.0,9.8938,-34.355,-298.265
43.0,0.0,-41.44,-297.5279
44.0,-9.8938,-34.355,-298.265
45.0,-19.7714,-27.213,-298.5108
46.0,-29.6164,-20.026,-298.265
47.0,-39.4126,-12.806,-297.5279
48.0,-35.7311,-1.206,-298.265
49.0,-31.9908,10.395,-298.5108
50.0,-28.1978,21.979,-298.265
51.0,-24.3583,33.527,-297.5279
52.0,-18.2947,42.054,-296.8788
53.0,-6.1082,42.109,-297.3714
54.0,6.1082,42.109,-297.3714
55.0,18.2947,42.054,-296.8788
56.0,30.3932,41.833,-295.9163
57.0,34.3416,30.395,-296.8788
58.0,38.1602,18.822,-297.3714
59.0,41.9353,7.203,-297.3714
60.0,45.6484,-4.404,-296.8788
61.0,49.1772,-15.978,-295.9163
62.0,39.519,-23.268,-296.8788
63.0,29.6925,-30.476,-297.3714
64.0,19.8093,-37.657,-297.3714
65.0,9.9175,-44.775,-296.8788
66.0,0.0,-51.708,-295.9163
67.0,-9.9175,-44.775,-296.8788
68.0,-19.8093,-37.657,-297.3714
69.0,-29.6925,-30.476,-297.3714
70.0,-39.519,-23.268,-296.8788
71.0,-49.1772,-15.978,-295.9163
72.0,-45.6484,-4.404,-296.8788
73.0,-41.9353,7.203,-297.3714
74.0,-38.1602,18.822,-297.3714
75.0,-34.3416,30.395,-296.8788
76.0,-30.3932,41.833,-295.9163
77.0,-24.3201,50.35,-295.1501
78.0,-12.2089,50.529,-295.8681
79.0,0.0,50.571,-296.1128
80.0,12.2089,50.529,-295.8681
81.0,24.3201,50.35,-295.1501
82.0,36.3917,50.089,-293.9506
83.0,40.3703,38.689,-295.1501
84.0,44.283,27.226,-295.8681
85.0,48.0955,15.628,-296.1128
86.0,51.8285,4.003,-295.8681
87.0,55.4009,-7.57,-295.1501
88.0,58.883,-19.132,-293.9506
89.0,49.2703,-26.439,-295.1501
90.0,39.5773,-33.702,-295.8681
91.0,29.7247,-40.912,-296.1128
92.0,19.8229,-48.054,-295.8681
93.0,9.9195,-55.029,-295.1501
94.0,0.0,-61.913,-293.9506
95.0,-9.9195,-55.029,-295.1501
96.0,-19.8229,-48.054,-295.8681
97.0,-29.7247,-40.912,-296.1128
98.0,-39.5773,-33.702,-295.8681
99.0,-49.2703,-26.439,-295.1501
100.0,-58.883,-19.132,-293.9506
101.0,-55.4009,-7.57,-295.1501
102.0,-51.8285,4.003,-295.8681
103.0,-48.0955,15.628,-296.1128
104.0,-44.283,27.226,-295.8681
105.0,-40.3703,38.689,-295.1501
106.0,-36.3917,50.089,-293.9506
107.0,-30.3164,58.614,-293.0623
108.0,-18.2175,58.833,-294.0187
109.0,-6.1082,58.943,-294.4972
110.0,6.1082,58.943,-294.4972
111.0,18.2175,58.833,-294.0187
112.0,30.3164,58.614,-293.0623
113.0,42.3466,58.286,-291.633
114.0,46.3765,46.946,-293.0623
115.0,50.324,35.507,-294.0187
116.0,54.1705,24.024,-294.4972
117.0,57.9456,12.406,-294.4972
118.0,61.583,0.855,-294.0187
119.0,65.1131,-10.72,-293.0623
120.0,68.5183,-22.263,-291.633
121.0,58.9787,-29.599,-293.0623
122.0,49.3194,-36.889,-294.0187
123.0,39.5874,-44.095,-294.4972
124.0,29.7042,-51.276,-294.4972
125.0,19.8429,-58.304,-294.0187
126.0,9.9256,-65.238,-293.0623
127.0,0.0,-72.044,-291.633
128.0,-9.9256,-65.238,-293.0623
129.0,-19.8429,-58.304,-294.0187
130.0,-29.7042,-51.276,-294.4972
131.0,-39.5874,-44.095,-294.4972
132.0,-49.3194,-36.889,-294.0187
133.0,-58.9787,-29.599,-293.0623
134.0,-68.5183,-22.263,-291.633
135.0,-65.1131,-10.72,-293.0623
136.0,-61.583,0.855,-294.0187
137.0,-57.9456,12.406,-294.4972
138.0,-54.1705,24.024,-294.4972
139.0,-50.324,35.507,-294.0187
140.0,-46.3765,46.946,-293.0623
141.0,-42.3466,58.286,-291.633
142.0,-36.257,66.794,-290.6273
143.0,-24.2041,67.067,-291.8157
144.0,-12.1119,67.231,-292.5295
145.0,0.0,67.286,-292.7676
146.0,12.1119,67.231,-292.5295
147.0,24.2041,67.067,-291.8157
148.0,36.257,66.794,-290.6273
149.0,48.2509,66.412,-288.9663
150.0,52.3202,55.123,-290.6273
151.0,56.3045,43.745,-291.8157
152.0,60.1972,32.295,-292.5295
153.0,63.9921,20.793,-292.7676
154.0,67.6828,9.257,-292.5295
155.0,71.2635,-2.294,-291.8157
156.0,74.7283,-13.842,-290.6273
157.0,78.0715,-25.367,-288.9663
158.0,68.5927,-32.725,-290.6273
159.0,59.0022,-40.031,-291.8157
160.0,49.3159,-47.271,-292.5295
161.0,39.5493,-54.435,-292.7676
162.0,29.7184,-61.509,-292.5295
163.0,19.8391,-68.484,-291.8157
164.0,9.9276,-75.348,-290.6273
165.0,0.0,-82.089,-288.9663
166.0,-9.9276,-75.348,-290.6273
167.0,-19.8391,-68.484,-291.8157
168.0,-29.7184,-61.509,-292.5295
169.0,-39.5493,-54.435,-292.7676
170.0,-49.3159,-47.271,-292.5295
171.0,-59.0022,-40.031,-291.8157
172.0,-68.5927,-32.725,-290.6273
173.0,-78.0715,-25.367,-288.9663
174.0,-74.7283,-13.842,-290.6273
175.0,-71.2635,-2.294,-291.8157
176.0,-67.6828,9.257,-292.5295
177.0,-63.9921,20.793,-292.7676
178.0,-60.1972,32.295,-292.5295
179.0,-56.3045,43.745,-291.8157
180.0,-52.3202,55.123,-290.6273
181.0,-48.2509,66.412,-288.9663
182.0,-42.3557,75.319,-287.7034
183.0,-30.3251,75.648,-289.1332
184.0,-18.2235,75.868,-290.0899
185.0,-6.1137,75.978,-290.5687
186.0,6.1137,75.978,-290.5687
187.0,18.2235,75.868,-290.0899
188.0,30.3251,75.648,-289.1332
189.0,42.3557,75.319,-287.7034
190.0,54.0974,74.459,-285.9538
191.0,58.5437,63.558,-287.7034
192.0,62.5741,52.218,-289.1332
193.0,66.5231,40.776,-290.0899
194.0,70.3699,29.293,-290.5687
195.0,74.1484,17.664,-290.5687
196.0,77.7858,6.113,-290.0899
197.0,81.316,-5.464,-289.1332
198.0,84.721,-17.008,-287.7034
199.0,87.5314,-28.44,-285.9538
200.0,78.5377,-36.038,-287.7034
201.0,68.998,-43.375,-289.1332
202.0,59.337,-50.666,-290.0899
203.0,49.6047,-57.873,-290.5687
204.0,39.7125,-65.06,-290.5687
205.0,29.8508,-72.089,-290.0899
206.0,19.931,-79.024,-289.1332
207.0,10.0048,-85.83,-287.7034
208.0,0.0,-92.036,-285.9538
209.0,-10.0048,-85.83,-287.7034
210.0,-19.931,-79.024,-289.1332
211.0,-29.8508,-72.089,-290.0899
212.0,-39.7125,-65.06,-290.5687
213.0,-49.6047,-57.873,-290.5687
214.0,-59.337,-50.666,-290.0899
215.0,-68.998,-43.375,-289.1332
216.0,-78.5377,-36.038,-287.7034
217.0,-87.5314,-28.44,-285.9538
218.0,-84.721,-17.008,-287.7034
219.0,-81.316,-5.464,-289.1332
220.0,-77.7858,6.113,-290.0899
221.0,-74.1484,17.664,-290.5687
222.0,-70.3699,29.293,-290.5687
223.0,-66.5231,40.776,-290.0899
224.0,-62.5741,52.218,-289.1332
225.0,-58.5437,63.558,-287.7034
226.0,-54.0974,74.459,-285.9538
227.0,-48.1805,83.339,-284.5585
228.0,-36.4062,84.13,-286.0717
229.0,-24.3327,84.42,-287.2656
230.0,-12.2194,84.572,-287.9906
231.0,0.0,84.642,-288.2291
232.0,12.2194,84.572,-287.9906
233.0,24.3327,84.42,-287.2656
234.0,36.4063,84.13,-286.0717
235.0,48.1805,83.339,-284.5585
238.0,68.7616,60.622,-286.0717
239.0,72.7681,49.229,-287.2656
240.0,76.6559,37.756,-287.9906
241.0,80.4986,26.156,-288.2291
242.0,84.2079,14.513,-287.9906
243.0,87.8066,2.946,-287.2656
244.0,91.2619,-8.627,-286.0717
245.0,94.148,-20.069,-284.5585
246.0,96.8864,-31.48,-282.599
247.0,87.9638,-39.102,-284.5585
248.0,78.9032,-46.663,-286.0717
249.0,69.3059,-53.994,-287.2656
250.0,59.5954,-61.237,-287.9906
251.0,49.7509,-68.476,-288.2291
252.0,39.824,-75.601,-287.9906
253.0,29.9348,-82.598,-287.2656
254.0,19.9967,-89.461,-286.0717
255.0,10.0062,-95.741,-284.5585
256.0,0.0,-101.872,-282.599
257.0,-10.0062,-95.741,-284.5585
258.0,-19.9967,-89.461,-286.0717
259.0,-29.9348,-82.598,-287.2656
260.0,-39.824,-75.601,-287.9906
261.0,-49.7509,-68.476,-288.2291
262.0,-59.5954,-61.237,-287.9906
263.0,-69.3059,-53.994,-287.2656
264.0,-78.9032,-46.663,-286.0717
265.0,-87.9638,-39.102,-284.5585
266.0,-96.8864,-31.48,-282.599
267.0,-94.148,-20.069,-284.5585
268.0,-91.2619,-8.627,-286.0717
269.0,-87.8066,2.946,-287.2656
270.0,-84.2079,14.513,-287.9906
271.0,-80.4986,26.156,-288.2291
272.0,-76.6559,37.756,-287.9906
273.0,-72.7681,49.229,-287.2656
274.0,-68.7616,60.622,-286.0717
275.0,-64.3708,71.576,-284.5585
276.0,-59.8791,82.417,-282.599
277.0,-53.9481,91.284,-281.064
278.0,-42.2024,92.137,-282.7895
279.0,-30.4101,92.832,-284.0733
280.0,-18.3091,93.055,-285.0366
281.0,-6.1137,93.223,-285.5038
282.0,6.1137,93.223,-285.5038
283.0,18.3091,93.055,-285.0366
284.0,30.4101,92.832,-284.0733
292.0,86.7704,34.622,-285.5038
293.0,90.5489,22.993,-285.5038
294.0,94.1576,11.343,-285.0366
295.0,97.6857,-0.235,-284.0733
296.0,100.6687,-11.665,-282.7895
297.0,103.4871,-23.099,-281.064
299.0,97.3003,-42.14,-281.064
300.0,88.2992,-49.734,-282.7895
301.0,79.1676,-57.228,-284.0733
302.0,69.5083,-64.52,-285.0366
303.0,59.7408,-71.824,-285.5038
304.0,49.8486,-79.012,-285.5038
305.0,39.8834,-86.044,-285.0366
306.0,29.963,-92.977,-284.0733
307.0,20.0144,-99.346,-282.7895
308.0,10.0104,-105.56,-281.064
309.0,0.0,-111.587,-278.9059
310.0,-10.0104,-105.56,-281.064
311.0,-20.0144,-99.346,-282.7895
312.0,-29.963,-92.977,-284.0733
313.0,-39.8834,-86.044,-285.0366
314.0,-49.8486,-79.012,-285.5038
315.0,-59.7408,-71.824,-285.5038
316.0,-69.5083,-64.52,-285.0366
317.0,-79.1676,-57.228,-284.0733
318.0,-88.2992,-49.734,-282.7895
319.0,-97.3003,-42.14,-281.064
320.0,-106.1255,-34.482,-278.9059
321.0,-103.4871,-23.099,-281.064
322.0,-100.6687,-11.665,-282.7895
323.0,-97.6857,-0.235,-284.0733
324.0,-94.1576,11.343,-285.0366
325.0,-90.5489,22.993,-285.5038
326.0,-86.7704,34.622,-285.5038
327.0,-82.8419,46.169,-285.0366
328.0,-78.8912,57.609,-284.0733
329.0,-74.5863,68.609,-282.7895
330.0,-70.1453,79.516,-281.064
331.0,-65.5892,90.276,-278.9059
332.0,-59.6308,99.108,-277.2399
333.0,-47.9477,100.034,-279.1673
334.0,-36.1897,100.804,-280.6583
335.0,-24.375,101.416,-281.7107
336.0,-12.1976,101.668,-282.4095
337.0,0.0,101.752,-282.6426
338.0,12.1976,101.668,-282.4095
357.0,97.589,-52.746,-279.1673
358.0,88.5289,-60.28,-280.6583
359.0,79.3305,-67.719,-281.7107
360.0,69.6266,-75.081,-282.4095
361.0,59.8079,-82.318,-282.6426
362.0,49.8905,-89.42,-282.4095
363.0,39.8909,-96.374,-281.7107
364.0,29.9728,-102.823,-280.6583
365.0,20.008,-109.112,-279.1673
366.0,10.0118,-115.23,-277.2399
367.0,0.0,-121.168,-274.8791
368.0,-10.0118,-115.23,-277.2399
369.0,-20.008,-109.112,-279.1673
370.0,-29.9728,-102.823,-280.6583
371.0,-39.8909,-96.374,-281.7107
372.0,-49.8905,-89.42,-282.4095
373.0,-59.8079,-82.318,-282.6426
374.0,-69.6266,-75.081,-282.4095
375.0,-79.3305,-67.719,-281.7107
376.0,-88.5289,-60.28,-280.6583
377.0,-97.589,-52.746,-279.1673
378.0,-106.4965,-45.129,-277.2399
379.0,-115.2376,-37.443,-274.8791
380.0,-112.6842,-26.086,-277.2399
381.0,-109.9546,-14.688,-279.1673
382.0,-107.0532,-3.268,-280.6583
383.0,-103.9844,8.158,-281.7107
384.0,-100.4606,19.817,-282.4095
385.0,-96.7712,31.443,-282.6426
386.0,-92.9221,43.018,-282.4095
387.0,-88.9198,54.522,-281.7107
388.0,-84.6867,65.569,-280.6583
389.0,-80.3213,76.514,-279.1673
390.0,-75.8303,87.339,-277.2399
391.0,-71.2207,98.027,-274.8791
392.0,-65.2835,106.913,-273.0346
393.0,-53.6373,107.913,-275.1691
394.0,-41.8868,108.758,-276.871
395.0,-30.0914,109.444,-278.1308
396.0,-18.3087,109.87,-278.9869
397.0,-6.1133,110.038,-279.454
420.0,97.813,-63.366,-276.871
421.0,88.6738,-70.854,-278.1308
422.0,79.3916,-78.124,-278.9869
423.0,69.6243,-85.429,-279.454
424.0,59.7327,-92.615,-279.454
425.0,49.7676,-99.647,-278.9869
426.0,39.9849,-106.229,-278.1308
427.0,30.0387,-112.606,-276.871
428.0,20.036,-118.83,-275.1691
429.0,10.0263,-124.867,-273.0346
430.0,0.0,-130.604,-270.5232
431.0,-10.0263,-124.867,-273.0346
432.0,-20.036,-118.83,-275.1691
433.0,-30.0387,-112.606,-276.871
434.0,-39.9849,-106.229,-278.1308
435.0,-49.7676,-99.647,-278.9869
436.0,-59.7327,-92.615,-279.454
437.0,-69.6243,-85.429,-279.454
438.0,-79.3916,-78.124,-278.9869
439.0,-88.6738,-70.854,-278.1308
440.0,-97.813,-63.366,-276.871
441.0,-106.823,-55.776,-275.1691
442.0,-115.6573,-48.121,-273.0346
443.0,-124.2117,-40.358,-270.5232
444.0,-121.8538,-29.05,-273.0346
445.0,-119.2059,-17.665,-275.1691
446.0,-116.378,-6.228,-276.871
447.0,-113.3858,5.202,-278.1308
448.0,-110.1497,16.539,-278.9869
449.0,-106.5411,28.19,-279.454
450.0,-102.7628,39.818,-279.454
451.0,-98.8343,51.364,-278.9869
452.0,-94.7883,62.439,-278.1308
453.0,-90.4905,73.445,-276.871
454.0,-86.0562,84.359,-275.1691
455.0,-81.5064,95.127,-273.0346
456.0,-76.7671,105.661,-270.5232
457.0,-70.7961,114.503,-268.5466
458.0,-59.2612,115.66,-270.8342
459.0,-47.5535,116.591,-272.7372
488.0,97.9091,-73.902,-274.2122
489.0,88.6987,-81.229,-275.2718
490.0,79.351,-88.429,-275.9055
491.0,69.5233,-95.69,-276.134
492.0,59.5805,-102.793,-275.9055
493.0,49.8439,-109.458,-275.2718
494.0,40.0302,-115.954,-274.2122
495.0,30.0584,-122.274,-272.7372
496.0,20.0395,-128.403,-270.8342
497.0,10.0275,-134.247,-268.5466
498.0,0.0,-139.883,-265.8435
499.0,-10.0275,-134.247,-268.5466
500.0,-20.0395,-128.403,-270.8342
501.0,-30.0584,-122.274,-272.7372
502.0,-40.0302,-115.954,-274.2122
503.0,-49.8439,-109.458,-275.2718
504.0,-59.5805,-102.793,-275.9055
505.0,-69.5233,-95.69,-276.134
506.0,-79.351,-88.429,-275.9055
507.0,-88.6987,-81.229,-275.2718
508.0,-97.9091,-73.902,-274.2122
509.0,-107.0016,-66.372,-272.7372
510.0,-115.9262,-58.737,-270.8342
511.0,-124.5781,-51.021,-268.5466
512.0,-133.0372,-43.226,-265.8435
513.0,-130.7754,-31.948,-268.5466
514.0,-128.3113,-20.62,-270.8342
515.0,-125.5787,-9.197,-272.7372
516.0,-122.6491,2.24,-274.2122
517.0,-119.5039,13.58,-275.2718
518.0,-116.1738,24.9,-275.9055
519.0,-112.4911,36.551,-276.134
520.0,-108.6222,48.142,-275.9055
521.0,-104.6627,59.257,-275.2718
522.0,-100.5413,70.28,-274.2122
523.0,-96.189,81.255,-272.7372
524.0,-91.6858,92.102,-270.8342
525.0,-87.021,102.715,-268.5466
562.0,88.6243,-91.519,-272.048
563.0,79.2087,-98.62,-272.4704
564.0,69.3171,-105.807,-272.4704
565.0,59.6536,-112.567,-272.048
566.0,49.874,-119.156,-271.2095
567.0,40.0268,-125.538,-269.9596
568.0,30.0266,-131.772,-268.2809
569.0,20.0563,-137.735,-266.2082
570.0,10.0311,-143.486,-263.7254
571.0,0.0,-148.995,-260.8456
572.0,-10.0311,-143.486,-263.7254
573.0,-20.0563,-137.735,-266.2082
574.0,-30.0266,-131.772,-268.2809
575.0,-40.0268,-125.538,-269.9596
576.0,-49.874,-119.156,-271.2095
577.0,-59.6536,-112.567,-272.048
578.0,-69.3171,-105.807,-272.4704
579.0,-79.2087,-98.62,-272.4704
580.0,-88.6243,-91.519,-272.048
581.0,-97.9122,-84.254,-271.2095
582.0,-107.0251,-76.861,-269.9596
583.0,-116.0441,-69.276,-268.2809
584.0,-124.7966,-61.637,-266.2082
585.0,-133.3643,-53.88,-263.7254
586.0,-141.7034,-46.042,-260.8456
587.0,-139.5639,-34.799,-263.7254
588.0,-137.1921,-23.488,-266.2082
589.0,-134.6015,-12.162,-268.2809
590.0,-131.763,-0.725,-269.9596
591.0,-128.736,10.612,-271.2095
592.0,-125.4923,21.949,-272.048
593.0,-122.049,33.229,-272.4704
594.0,-118.2708,44.857,-272.4704
595.0,-114.4264,56.006,-272.048
596.0,-110.387,67.084,-271.2095
597.0,-106.1719,78.036,-269.9596
598.0,-101.7458,88.957,-268.2809
599.0,-97.1849,99.642,-266.2082
640.0,88.4452,-101.669,-268.4788
641.0,78.9648,-108.685,-268.6859
642.0,69.3627,-115.534,-268.4788
643.0,59.6536,-122.204,-267.8577
644.0,49.8525,-128.686,-266.8235
645.0,39.9746,-134.969,-265.378
646.0,30.035,-141.044,-263.5232
647.0,20.0491,-146.902,-261.2621
648.0,10.0323,-152.533,-258.5982
649.0,0.0,-157.929,-255.5355
650.0,-10.0323,-152.533,-258.5982
651.0,-20.0491,-146.902,-261.2621
652.0,-30.035,-141.044,-263.5232
653.0,-39.9746,-134.969,-265.378
654.0,-49.8525,-128.686,-266.8235
655.0,-59.6536,-122.204,-267.8577
656.0,-69.3627,-115.534,-268.4788
657.0,-78.9648,-108.685,-268.6859
658.0,-88.4452,-101.669,-268.4788
659.0,-97.7892,-94.497,-267.8577
660.0,-106.9824,-87.178,-266.8235
661.0,-116.0107,-79.725,-265.378
662.0,-124.8601,-72.15,-263.5232
663.0,-133.5169,-64.463,-261.2621
664.0,-141.9679,-56.676,-258.5982
665.0,-150.2,-48.803,-255.5355
666.0,-148.1682,-37.594,-258.5982
667.0,-145.9079,-26.327,-261.2621
668.0,-143.4227,-15.02,-263.5232
669.0,-140.7163,-3.689,-265.378
670.0,-137.793,7.647,-266.8235
671.0,-134.6571,18.971,-267.8577
672.0,-131.3137,30.266,-268.4788
673.0,-127.7678,41.515,-268.6859
674.0,-124.0248,52.699,-268.4788
675.0,-120.0906,63.802,-267.8577
676.0,-115.9713,74.807,-266.8235
677.0,-111.6731,85.696,-265.378
678.0,-107.2028,96.454,-263.5232
725.0,69.7628,-126.647,-263.3133
726.0,59.9722,-133.237,-262.4713
727.0,50.1219,-139.618,-261.2175
728.0,40.0765,-145.866,-259.5326
729.0,30.1031,-151.826,-257.4542
730.0,20.0662,-157.576,-254.9648
731.0,10.0323,-163.082,-252.0788
732.0,0.0,-166.674,-249.9196
733.0,-10.0323,-163.082,-252.0788
734.0,-20.0662,-157.576,-254.9648
735.0,-30.1031,-151.826,-257.4542
736.0,-40.0765,-145.866,-259.5326
737.0,-50.1219,-139.618,-261.2175
738.0,-59.9722,-133.237,-262.4713
739.0,-69.7628,-126.647,-263.3133
740.0,-79.4294,-119.887,-263.7388
741.0,-89.4746,-112.589,-263.7389
742.0,-98.8905,-105.484,-263.3133
743.0,-108.1843,-98.209,-262.4713
744.0,-117.2968,-90.813,-261.2175
745.0,-126.3425,-83.19,-259.5326
746.0,-135.0933,-75.546,-257.4542
747.0,-143.6637,-67.778,-254.9648
748.0,-152.0002,-59.936,-252.0788
749.0,-158.5168,-51.505,-249.9196
750.0,-158.2005,-40.853,-252.0788
751.0,-156.0653,-29.609,-254.9648
752.0,-153.698,-18.287,-257.4542
753.0,-151.1111,-6.96,-259.5326
754.0,-148.2739,4.525,-261.2175
755.0,-145.2491,15.865,-262.4713
756.0,-142.0063,27.213,-263.3133
757.0,-138.5647,38.495,-263.7388
758.0,-134.7277,50.304,-263.7389
759.0,-130.8804,61.454,-263.3133
760.0,-126.8337,72.541,-262.4713
761.0,-122.6154,83.493,-261.2175
762.0,-118.1604,94.452,-259.5326
816.0,40.1104,-156.515,-253.2474
817.0,30.1031,-162.375,-250.9348
818.0,20.0491,-167.983,-248.2334
819.0,10.0311,-171.713,-246.2801
820.0,0.0,-175.219,-244.0045
821.0,-10.0311,-171.713,-246.2801
822.0,-20.0491,-167.983,-248.2334
823.0,-30.1031,-162.375,-250.9348
824.0,-40.1104,-156.515,-253.2474
825.0,-50.1901,-150.4,-255.1484
826.0,-60.1905,-144.048,-256.6462
827.0,-70.0304,-137.575,-257.6992
828.0,-79.7617,-130.889,-258.3528
829.0,-89.8753,-123.702,-258.5734
830.0,-99.8355,-116.305,-258.3528
831.0,-109.2016,-109.116,-257.6992
832.0,-118.3985,-101.758,-256.6462
833.0,-127.5302,-94.21,-255.1484
834.0,-136.4603,-86.513,-253.2474
835.0,-145.1256,-78.806,-250.9348
836.0,-153.566,-70.977,-248.2334
837.0,-160.2098,-62.602,-246.2801
838.0,-166.6439,-54.145,-244.0045
839.0,-166.4094,-43.522,-246.2801
840.0,-165.957,-32.841,-248.2334
841.0,-163.7303,-21.547,-250.9348
842.0,-161.2499,-10.218,-253.2474
843.0,-158.5493,1.258,-255.1484
844.0,-155.5983,12.731,-256.6462
845.0,-152.4828,24.09,-257.6992
846.0,-149.131,35.411,-258.3528
847.0,-145.4213,47.251,-258.5734
848.0,-141.4635,59.009,-258.3528
849.0,-137.5207,70.139,-257.6992
850.0,-133.3648,81.159,-256.6462
915.0,-20.0563,-176.506,-242.2464
916.0,-30.035,-172.625,-244.0053
917.0,-40.0765,-166.899,-246.533
918.0,-50.1901,-160.95,-248.6285
919.0,-60.2418,-154.721,-250.3445
920.0,-70.1644,-148.252,-251.6714
921.0,-79.9614,-141.673,-252.5369
922.0,-90.1441,-134.635,-252.9578
923.0,-100.1894,-127.336,-252.9578
924.0,-110.0303,-119.827,-252.5369
925.0,-119.314,-112.542,-251.6714
926.0,-128.5331,-105.104,-250.3445
927.0,-137.5632,-97.47,-248.6285
928.0,-146.3467,-89.689,-246.533
929.0,-154.895,-81.909,-244.0053
930.0,-161.67,-73.618,-242.2464
931.0,-168.242,-65.208,-240.1721
932.0,-174.5716,-56.721,-237.7973
933.0,-174.4393,-46.135,-240.1721
934.0,-174.0655,-35.468,-242.2464
935.0,-173.4577,-24.779,-244.0053
936.0,-171.1154,-13.459,-246.533
937.0,-168.5824,-2.002,-248.6285
938.0,-165.7645,9.482,-250.3445
939.0,-162.678,20.918,-251.6714
940.0,-159.4491,32.269,-252.5369
941.0,-155.9015,44.128,-252.9578
942.0,-152.0645,55.937,-252.9578
943.0,-147.9638,67.617,-252.5369
944.0,-143.9045,78.697,-251.6714
1015.0,-39.9746,-177.001,-239.4009
1016.0,-50.1219,-171.2,-241.6988
1017.0,-60.1905,-165.13,-243.6167
1018.0,-70.1644,-158.801,-245.1515
1019.0,-80.028,-152.222,-246.3008
1020.0,-90.2785,-145.312,-246.9299
1021.0,-100.3757,-138.155,-247.1397
1022.0,-110.3025,-130.763,-246.9299
1023.0,-120.042,-123.15,-246.3008
1024.0,-129.3471,-115.802,-245.1515
1025.0,-138.4488,-108.272,-243.6167
1026.0,-147.3329,-100.572,-241.6988
1027.0,-155.9852,-92.714,-239.4009
1028.0,-162.8886,-84.497,-237.8395
1029.0,-169.5797,-76.17,-235.9681
1030.0,-176.0497,-67.744,-233.7892
1031.0,-182.2903,-59.229,-231.3056
1032.0,-182.2463,-48.673,-233.7892
1033.0,-181.9647,-38.053,-235.9681
1034.0,-181.4461,-27.383,-237.8395
1035.0,-180.6909,-16.678,-239.4009
1036.0,-178.3099,-5.235,-241.6988
1037.0,-175.6486,6.217,-243.6167
1038.0,-172.7111,17.658,-245.1515
1039.0,-169.502,29.072,-246.3008
1040.0,-166.0976,40.956,-246.9299
1041.0,-162.4113,52.771,-247.1397
1120.0,-59.9722,-175.175,-236.5523
1121.0,-70.0304,-168.967,-238.298
1122.0,-79.9614,-162.517,-239.6548
1123.0,-90.2785,-155.875,-240.4015
1124.0,-100.4614,-148.836,-240.8224
1125.0,-110.5075,-141.537,-240.8224
1126.0,-120.3486,-134.028,-240.4015
1127.0,-129.8539,-126.268,-239.6548
1128.0,-139.057,-118.816,-238.298
1129.0,-148.0696,-111.169,-236.5523
1130.0,-156.8349,-103.376,-234.4274
1131.0,-163.8777,-95.333,-233.0145
1132.0,-170.709,-87.072,-231.3376
1133.0,-177.3398,-78.688,-229.3445
1134.0,-183.7302,-70.224,-227.0504
1137.0,-189.7227,-40.577,-229.3445
1138.0,-189.2861,-29.897,-231.3376
1139.0,-188.6156,-19.198,-233.0145
1140.0,-187.6455,-8.551,-234.4274
1141.0,-185.1344,2.905,-236.5523
1142.0,-182.3381,14.389,-238.298
1143.0,-179.2727,25.828,-239.6548
1230.0,-79.7617,-172.542,-232.61
1231.0,-90.1441,-166.041,-233.5473
1232.0,-100.3757,-159.263,-234.0941
1233.0,-110.5075,-152.1,-234.294
1234.0,-120.4508,-144.678,-234.0941
1235.0,-130.059,-137.041,-233.5473
1236.0,-139.4497,-129.176,-232.61
1237.0,-148.5636,-121.624,-231.0337
1238.0,-157.4428,-113.879,-229.0924
1239.0,-164.6126,-105.926,-227.8649
1240.0,-171.5705,-97.837,-226.3441
1346.0,-110.3025,-162.381,-227.3891
1347.0,-120.3486,-155.082,-227.3891
1348.0,-130.059,-147.604,-227.0195
1349.0,-139.5688,-139.849,-226.2807
1350.0,-148.8135,-131.869,-225.1781
